Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Very Bad Things,08-07-1998,Color,Comedy,English,USA,Over 18,Jon Favreau,Peter Berg,4000,6046,532,0,6.3,100.0,100,9801782,10000000
Waking Ned Devine,10-12-1998,Color,Comedy,English,UK,Parental Guidance,James Nesbitt,Kirk Jones,773,1965,52,0,7.4,94.0,91,24788807,3000000
What Dreams May Come,20-03-1998,Color,Drama,English,USA,Teens,Robin Williams,Vincent Ward,49000,49631,25,32000,7.0,121.0,113,55350897,85000000
Wild Things,29-03-1998,Color,Crime,English,USA,Over 18,Bill Murray,John McNaughton,13000,14275,39,0,6.5,69.0,115,29753944,20000000
Without Limits,27-05-1998,Color,Biography,English,USA,Teens,Billy Burke,Robert Towne,2000,4351,162,942,7.2,28.0,117,777423,25000000
Woo,23-06-1998,Color,Comedy,English,USA,Over 18,LL Cool J,Daisy von Scherler Mayer,1000,3352,18,204,3.8,23.0,84,8026971,13000000
You've Got Mail,14-12-1998,Color,Comedy,English,USA,Parental Guidance,Tom Hanks,Nora Ephron,15000,17768,0,0,6.5,153.0,119,115731542,65000000
Zero Effect,22-03-1998,Color,Comedy,English,USA,Over 18,Kim Dickens,Jake Kasdan,624,1209,52,507,7.0,81.0,116,1980338,5000000
10 Things I Hate About You,26-03-1999,Color,Comedy,English,USA,Teens,Joseph Gordon-Levitt,Gil Junger,23000,37907,19,10000,7.2,133.0,97,38176108,16000000
200 Cigarettes,08-05-1999,Color,Comedy,English,USA,Over 18,Janeane Garofalo,Risa Bramon Garcia,1000,2697,112,0,5.9,67.0,101,6851636,6000000
8MM,17-02-1999,Color,Mystery,English,Germany,Over 18,Nicolas Cage,Joel Schumacher,12000,12970,541,0,6.5,138.0,123,36283504,40000000
A Dog of Flanders,30-01-1999,Color,Drama,English,USA,Parental Guidance,Bruce McGill,Kevin Brodie,655,1906,0,157,6.3,25.0,100,2148212,7000000
A Walk on the Moon,11-03-1999,Color,Drama,English,USA,Over 18,Viggo Mortensen,Tony Goldwyn,10000,10368,956,860,6.6,47.0,107,4741987,14000000
American Beauty,12-09-1999,Color,Drama,English,USA,Over 18,Kevin Spacey,Sam Mendes,18000,19078,0,22000,8.4,176.0,122,130058047,15000000
American Pie,08-03-1999,Color,Comedy,English,USA,Over 18,Alyson Hannigan,Paul Weitz,3000,8134,80,0,7.0,145.0,95,101736215,11000000
An Ideal Husband,01-04-1999,Color,Comedy,English,UK,Teens,Minnie Driver,Oliver Parker,893,2640,32,646,6.9,105.0,97,18535191,14000000
Analyze This,21-05-1999,Color,Comedy,English,USA,Over 18,Robert De Niro,Harold Ramis,22000,24333,11000,0,6.7,145.0,103,106694016,30000000
Angela's Ashes,29-10-1999,Color,Drama,English,USA,Over 18,Emily Watson,Alan Parker,876,1282,317,0,7.3,99.0,145,13038660,25000000
Anna and the King,14-01-1999,Color,Drama,English,USA,Teens,Bai Ling,Andy Tennant,582,804,72,0,6.7,91.0,148,39251128,75000000
Any Given Sunday,22-06-1999,Color,Drama,English,USA,Over 18,Al Pacino,Oliver Stone,14000,20761,0,0,6.8,171.0,156,75530832,55000000
Anywhere But Here,07-05-1999,Color,Comedy,English,USA,Teens,Natalie Portman,Wayne Wang,20000,22040,61,638,6.1,36.0,114,18653615,23000000
Arlington Road,08-04-1999,Color,Crime,English,USA,Over 18,Jeff Bridges,Mark Pellington,12000,13576,89,0,7.2,155.0,117,24362501,21500000
At First Sight,04-05-1999,Black and White,Drama,English,USA,Teens,Mira Sorvino,Irwin Winkler,978,3821,34,0,5.9,55.0,128,22326247,60000000
Austin Powers: The Spy Who Shagged Me,25-08-1999,Color,Action,English,USA,Teens,Muse Watson,Jay Roach,45000,47203,116,0,6.6,199.0,95,205399422,33000000
Baby Geniuses,21-07-1999,Color,Comedy,English,USA,Parental Guidance,Kathleen Turner,Bob Clark,899,2936,84,0,2.5,45.0,97,27141959,18000000
Bats,19-05-1999,Color,Horror,English,USA,Teens,Leon,Louis Morneau,730,1405,38,342,3.6,97.0,91,10149779,6500000
Being John Malkovich,30-10-1999,Color,Comedy,English,USA,Over 18,Willie Garson,Spike Jonze,512,1171,0,0,7.8,242.0,112,22858926,13000000
Beyond the Mat,13-07-1999,Color,Biography,English,USA,Over 18,Terry Funk,Barry W. Blaustein,54,194,6,491,7.6,70.0,108,2047570,500000
Bicentennial Man,04-01-1999,Color,Comedy,English,USA,Parental Guidance,Robin Williams,Chris Columbus,49000,55254,0,0,6.8,93.0,132,58220776,100000000
Big Daddy,08-02-1999,Color,Comedy,English,USA,Teens,Steve Buscemi,Dennis Dugan,12000,26760,221,0,6.4,112.0,93,163479795,34200000
Blast from the Past,13-02-1999,Color,Comedy,English,USA,Teens,Brendan Fraser,Hugh Wilson,3000,5709,37,0,6.6,95.0,112,26494611,35000000
Blue Streak,26-06-1999,Color,Action,English,USA,Teens,Peter Greene,Les Mayfield,789,2986,10,0,6.3,40.0,93,68208190,65000000
Bowfinger,22-12-1999,Color,Comedy,English,USA,Teens,Robert Downey Jr.,Frank Oz,21000,22458,0,0,6.4,140.0,85,66365290,55000000
Boys Don't Cry,21-10-1999,Color,Biography,English,USA,Over 18,Alicia Goranson,Kimberly Peirce,173,563,108,0,7.6,123.0,118,11533945,2000000
Breakfast of Champions,27-01-1999,Color,Comedy,English,USA,Over 18,Bruce Willis,Alan Rudolph,13000,17417,18,458,4.6,42.0,110,175370,12000000
Bringing Out the Dead,04-11-1999,Color,Drama,English,USA,Over 18,Nicolas Cage,Martin Scorsese,12000,13040,17000,0,6.8,163.0,121,16640210,55000000
Brokedown Palace,01-01-1999,Color,Drama,English,USA,Teens,John Doe,Jonathan Kaplan,181,582,57,0,6.4,70.0,100,10114315,25000000
But I'm a Cheerleader,19-06-1999,Color,Comedy,English,USA,Over 18,Natasha Lyonne,Jamie Babbit,1000,4289,91,0,6.6,99.0,85,2199853,1200000
Chill Factor,24-03-1999,Color,Action,English,USA,Over 18,David Paymer,Hugh Johnson,372,1274,3,120,5.2,68.0,102,11227940,34000000
Cradle Will Rock,10-12-1999,Color,Drama,English,USA,Over 18,Bill Murray,Tim Robbins,13000,16878,0,625,6.9,70.0,132,2899970,32000000
Crazy in Alabama,27-04-1999,Color,Comedy,English,USA,Teens,Meat Loaf,Antonio Banderas,783,4834,0,391,6.3,28.0,111,1954202,15000000
Cruel Intentions,22-02-1999,Color,Drama,English,USA,Over 18,Sarah Michelle Gellar,Roger Kumble,4000,6223,16,0,6.9,101.0,97,38201895,10500000
Deep Blue Sea,07-10-1999,Color,Action,English,USA,Over 18,LL Cool J,Renny Harlin,1000,3697,212,0,5.8,199.0,105,73648142,60000000
Deterrence,11-08-1999,Color,Drama,English,France,Over 18,Kevin Pollak,Rod Lurie,574,1983,37,130,6.5,29.0,104,144583,800000
Detroit Rock City,15-06-1999,Color,Comedy,English,USA,Over 18,Natasha Lyonne,Adam Rifkin,1000,2518,89,0,6.8,42.0,95,4193025,15000000
Deuce Bigalow: Male Gigolo,03-11-1999,Color,Comedy,English,USA,Over 18,Amy Poehler,Mike Mitchell,1000,2604,31,0,5.7,91.0,88,65535067,17000000
Dick,19-04-1999,Color,Comedy,English,France,Teens,Ryan Reynolds,Andrew Fleming,16000,31005,26,0,6.1,81.0,94,6241697,13000000
Dogma,24-05-1999,Color,Adventure,English,USA,Over 18,Matt Damon,Kevin Smith,13000,16693,0,10000,7.4,206.0,130,30651422,10000000
Double Jeopardy,26-09-1999,Color,Crime,English,USA,Over 18,Bruce Greenwood,Bruce Beresford,984,2129,78,0,6.4,129.0,105,116735231,70000000
Doug's 1st Movie,02-01-1999,Color,Animation,English,USA,General,Frank Welker,Maurice Joyce,2000,2908,0,122,5.0,28.0,77,19421271,5000000
Dreaming of Joseph Lees,18-03-1999,Color,Drama,English,USA,Over 18,Samantha Morton,Eric Styles,631,2020,4,100,6.4,16.0,92,7680,2000000
Drive Me Crazy,18-06-1999,Color,Comedy,English,USA,Teens,Stephen Collins,John Schultz,452,1760,13,0,5.7,59.0,91,17843379,8000000
Drop Dead Gorgeous,04-11-1999,Color,Comedy,English,Germany,Teens,Kirsten Dunst,Michael Patrick Jann,4000,6388,31,0,6.5,77.0,97,10561238,10000000
Dudley Do-Right,24-05-1999,Color,Comedy,English,USA,Parental Guidance,Brendan Fraser,Hugh Wilson,3000,5568,37,272,3.8,41.0,77,9694105,22000000
East Is East,20-03-1999,Color,Comedy,English,UK,Over 18,Archie Panjabi,Damien O'Donnell,883,1616,70,1000,6.9,82.0,96,4170647,1900000
Edtv,14-01-1999,Color,Comedy,English,USA,Teens,Matthew McConaughey,Ron Howard,11000,15275,2000,641,6.1,115.0,122,22362500,55000000
Election,04-06-1999,Color,Comedy,English,USA,Over 18,Matthew Broderick,Alexander Payne,2000,3516,729,0,7.3,175.0,103,14879556,8000000
End of Days,26-05-1999,Color,Action,English,USA,Over 18,CCH Pounder,Peter Hyams,1000,3903,0,2000,5.7,174.0,121,66862068,83000000
Entrapment,27-02-1999,Color,Action,English,USA,Teens,Will Patton,Jon Amiel,537,1302,36,0,6.2,138.0,113,87704396,66000000
eXistenZ,12-01-1999,Color,Horror,English,Canada,Over 18,Jennifer Jason Leigh,David Cronenberg,1000,2990,0,6000,6.8,196.0,115,2840417,31000000
Eye of the Beholder,21-07-1999,Color,Drama,English,Canada,Over 18,Jason Priestley,Stephan Elliott,471,1069,11,327,4.9,88.0,109,16459004,15000000
Eyes Wide Shut,10-11-1999,Color,Drama,English,UK,Over 18,Tom Cruise,Stanley Kubrick,10000,11424,0,10000,7.3,280.0,159,55637680,65000000
Fantasia 2000,01-10-1999,Color,Animation,English,USA,General,Quincy Jones,James Algar,340,814,11,607,7.3,129.0,74,60507228,80000000
Fight Club,03-04-1999,Color,Drama,English,USA,Over 18,Brad Pitt,David Fincher,11000,13209,21000,48000,8.8,315.0,151,37023395,63000000
Flawless,05-03-1999,Color,Comedy,English,USA,Over 18,Robert De Niro,Joel Schumacher,22000,46022,541,0,6.4,78.0,112,4485485,15000000
Foolish,03-12-1999,Color,Comedy,English,USA,Over 18,Eddie Griffin,Dave Meyers,489,2196,11,43,4.3,16.0,84,6026908,2000000
For Love of the Game,27-01-1999,Color,Drama,English,USA,Teens,J.K. Simmons,Sam Raimi,24000,25469,0,0,6.5,113.0,137,35168395,50000000
Galaxy Quest,07-02-1999,Color,Adventure,English,USA,Parental Guidance,Alan Rickman,Dean Parisot,25000,26998,23,19000,7.3,213.0,102,71423726,45000000
"Girl, Interrupted",02-07-1999,Color,Biography,English,USA,Over 18,Angelina Jolie Pitt,James Mangold,11000,13433,446,0,7.3,133.0,127,28871190,24000000
Go,04-04-1999,Color,Comedy,English,USA,Over 18,Sarah Polley,Doug Liman,900,2475,218,0,7.3,137.0,102,16842303,6500000
Godzilla 2000,22-08-1999,Color,Action,Japanese,Japan,Parental Guidance,Hiroshi Abe,Takao Okawara,43,53,2,339,6.0,107.0,99,10037390,1000000000
"Happy, Texas",09-06-1999,Color,Comedy,English,USA,Teens,Ally Walker,Mark Illsley,349,2095,3,374,6.3,77.0,98,1943649,1700000
Held Up,18-11-1999,Color,Comedy,English,USA,Teens,Barry Corbin,Steve Rash,883,3291,15,77,5.1,11.0,89,4692814,8000000
House on Haunted Hill,30-03-1999,Color,Horror,English,USA,Over 18,Jeffrey Combs,William Malone,885,2872,37,0,5.6,147.0,93,40846082,19000000
Human Traffic,09-11-1999,Color,Comedy,English,UK,Over 18,Danny Dyer,Justin Kerrigan,798,1430,8,0,7.1,47.0,99,104257,2200000
Idle Hands,12-11-1999,Color,Comedy,English,USA,Over 18,Vivica A. Fox,Rodman Flender,890,3654,6,0,6.2,59.0,92,4002955,20000000
In Dreams,01-04-1999,Color,Drama,English,USA,Over 18,Robert Downey Jr.,Neil Jordan,21000,22006,277,654,5.5,62.0,100,11900000,30000000
In Too Deep,27-03-1999,Color,Crime,English,USA,Over 18,LL Cool J,Michael Rymer,1000,4837,48,375,6.1,28.0,95,14003141,7000000
Inspector Gadget,24-11-1999,Color,Action,English,USA,Parental Guidance,Matthew Broderick,David Kellogg,2000,5320,16,509,4.1,70.0,110,97360069,75000000
Instinct,27-03-1999,Color,Drama,English,USA,Over 18,Anthony Hopkins,Jon Turteltaub,12000,13406,226,0,6.5,100.0,126,34098563,55000000
Jakob the Liar,09-03-1999,Color,Drama,English,France,Teens,Robin Williams,Peter Kassovitz,49000,51657,0,0,6.5,68.0,120,4956401,15000000
Jawbreaker,29-06-1999,Color,Comedy,English,USA,Over 18,Julie Benz,Darren Stein,3000,9555,18,0,5.4,49.0,87,3071947,3500000
Jesus' Son,18-05-1999,Color,Drama,English,USA,Over 18,Billy Crudup,Alison Maclean,745,2125,7,500,7.0,74.0,107,1282084,2500000
Just Looking,15-02-1999,Color,Comedy,English,USA,Over 18,Gretchen Mol,Jason Alexander,599,1030,700,117,6.7,20.0,97,39852,3000000
Lake Placid,26-12-1999,Color,Action,English,USA,Over 18,Oliver Platt,Steve Miner,1000,3313,49,2000,5.6,152.0,82,31768374,27000000
Light It Up,30-07-1999,Color,Drama,English,USA,Over 18,Rosario Dawson,Craig Bolotin,3000,6485,7,251,6.0,39.0,99,5871603,13000000
Limbo,25-11-1999,Color,Adventure,English,USA,Over 18,Mary Elizabeth Mastrantonio,John Sayles,638,823,407,196,7.1,46.0,126,1997807,8000000
Love Stinks,02-09-1999,Color,Comedy,English,USA,Over 18,Ivana Milicevic,Jeff Franklin,834,2662,24,309,5.8,45.0,94,2800000,4000000
Magnolia,29-12-1999,Color,Drama,English,USA,Over 18,Patton Oswalt,Paul Thomas Anderson,786,1906,0,13000,8.0,224.0,188,22450975,37000000
Man on the Moon,04-06-1999,Color,Biography,English,UK,Over 18,Matt Price,Milos Forman,134,209,869,0,7.4,140.0,118,34580635,52000000
Message in a Bottle,23-01-1999,Color,Drama,English,USA,Teens,Robin Wright,Luis Mandoki,18000,19815,43,0,6.1,85.0,131,52799004,55000000
Mickey Blue Eyes,05-01-1999,Color,Comedy,English,UK,Teens,Jeanne Tripplehorn,Kelly Makin,711,2913,6,445,5.8,90.0,102,33864342,40000000
Molly,22-08-1999,Color,Comedy,English,USA,Teens,Elaine Hendrix,John Duigan,670,1562,18,284,5.8,16.0,102,15593,21000000
Mumford,21-12-1999,Black and White,Comedy,English,USA,Over 18,Zooey Deschanel,Lawrence Kasdan,11000,17873,759,209,6.9,65.0,112,4554569,28000000
Muppets from Space,06-06-1999,Color,Adventure,English,USA,General,Josh Charles,Tim Hill,1000,3243,25,619,6.2,70.0,87,16290976,24000000
My Favorite Martian,09-03-1999,Color,Comedy,English,USA,Parental Guidance,Steven Anthony Lawrence,Donald Petrie,1000,2151,80,448,4.9,49.0,94,36830057,65000000
Mystery Men,07-03-1999,Color,Action,English,USA,Teens,Janeane Garofalo,Kinka Usher,1000,3986,18,0,6.0,125.0,121,29655590,65000000
"Mystery, Alaska",23-09-1999,Color,Comedy,English,Canada,Over 18,Scott Grimes,Jay Roach,738,2171,116,913,6.7,74.0,119,8888143,28000000
Notting Hill,05-04-1999,Color,Comedy,English,UK,Teens,Julia Roberts,Roger Michell,8000,9255,50,11000,7.0,150.0,124,116006080,42000000
Office Space,18-07-1999,Color,Comedy,English,USA,Over 18,Gary Cole,Mike Judge,989,3462,406,16000,7.8,144.0,89,10824921,10000000
One Man's Hero,06-07-1999,Color,Action,English,Spain,Over 18,Tom Berenger,Lance Hool,854,2705,0,271,6.2,10.0,121,229311,11350000
Outside Providence,01-12-1999,Color,Comedy,English,USA,Over 18,Jonathan Brandis,Michael Corrente,761,2018,30,0,6.4,72.0,96,7292175,7000000
Payback,05-03-1999,Color,Action,English,USA,Over 18,Bill Duke,Brian Helgeland,1000,3148,241,0,7.1,143.0,90,81517441,50000000
Play It to the Bone,19-04-1999,Color,Comedy,English,USA,Over 18,Willie Garson,Ron Shelton,512,1523,41,153,5.4,73.0,124,8427204,24000000
Pushing Tin,02-12-1999,Color,Comedy,English,USA,Over 18,Angelina Jolie Pitt,Mike Newell,11000,13093,179,783,6.0,56.0,124,8406264,38000000
Random Hearts,06-10-1999,Color,Drama,English,USA,Over 18,Harrison Ford,Sydney Pollack,11000,16710,521,295,5.1,96.0,133,31054924,64000000
Ravenous,06-04-1999,Color,Fantasy,English,Czech Republic,Over 18,Jeremy Davies,Antonia Bird,769,2543,61,0,7.1,131.0,101,2060953,12000000
Ride with the Devil,19-12-1999,Color,Drama,English,USA,Over 18,Jeremy W. Auman,Ang Lee,3,5,0,633,6.8,95.0,148,630779,35000000
Runaway Bride,17-01-1999,Color,Comedy,English,USA,Parental Guidance,Julia Roberts,Garry Marshall,8000,12790,0,0,5.5,103.0,116,152149590,70000000
She's All That,25-08-1999,Color,Comedy,English,USA,Teens,Paul Walker,Robert Iscove,23000,28734,7,0,5.8,96.0,95,63319509,10000000
Simply Irresistible,22-10-1999,Color,Comedy,English,Germany,Teens,Sarah Michelle Gellar,Mark Tarlov,4000,5668,3,901,5.3,35.0,96,4394936,6000000
Smiling Fish & Goat on Fire,11-03-1999,Color,Comedy,English,USA,Over 18,Derick Martini,Kevin Jordan,20000,20814,4,0,7.6,21.0,90,277233,40000
Snow Falling on Cedars,13-12-1999,Color,Drama,English,USA,Teens,Rick Yune,Scott Hicks,746,2393,96,846,6.8,95.0,127,14378353,36000000
South Park: Bigger Longer & Uncut,11-06-1999,Color,Animation,English,USA,Over 18,Minnie Driver,Trey Parker,893,3003,406,0,7.8,163.0,81,52008288,21000000
Star Wars: Episode I - The Phantom Menace,19-06-1999,Color,Action,English,USA,Parental Guidance,Natalie Portman,George Lucas,20000,37723,0,13000,6.5,320.0,136,474544677,115000000
Stigmata,25-12-1999,Color,Horror,English,USA,Over 18,Nia Long,Rupert Wainwright,826,3004,9,0,6.2,131.0,103,50041732,29000000
Stir of Echoes,05-03-1999,Color,Horror,English,USA,Over 18,Illeana Douglas,David Koepp,347,1254,192,0,7.0,164.0,99,21133087,12000000
Stuart Little,18-12-1999,Color,Adventure,English,Germany,Parental Guidance,Chazz Palminteri,Rob Minkoff,979,3382,50,0,5.9,101.0,84,140015224,133000000
Sugar Town,25-12-1999,Color,Comedy,English,UK,Over 18,Ally Sheedy,Allison Anders,793,1987,99,93,6.1,29.0,92,177840,250000
Summer of Sam,23-04-1999,Color,Crime,English,USA,Over 18,Mira Sorvino,Spike Lee,978,5386,0,0,6.6,85.0,142,19283782,22000000
Superstar,30-09-1999,Color,Comedy,English,USA,Teens,Will Ferrell,Bruce McCulloch,8000,10792,54,2000,5.0,43.0,81,30628981,14000000
Tea with Mussolini,10-02-1999,Color,Comedy,English,Italy,Parental Guidance,Lily Tomlin,Franco Zeffirelli,718,1148,160,970,6.9,62.0,117,14348123,12000000
The 13th Warrior,18-02-1999,Color,Action,English,USA,Over 18,Tony Curran,John McTiernan,845,1815,323,0,6.6,85.0,102,32694788,85000000
The Adventures of Elmo in Grouchland,11-06-1999,Color,Adventure,English,USA,General,Vanessa Williams,Gary Halvorson,1000,2020,11,339,5.8,44.0,73,11634458,17000000
The Astronaut's Wife,20-11-1999,Color,Drama,English,USA,Over 18,Johnny Depp,Rand Ravich,40000,52621,7,1000,5.3,107.0,109,10654581,34000000
The Basket,10-01-1999,Color,Drama,English,USA,Parental Guidance,Eric Dane,Rich Cowan,2000,3475,7,117,6.5,14.0,105,609042,1300000
The Best Man,20-11-1999,Color,Comedy,English,USA,Over 18,Harold Perrineau,Malcolm D. Lee,1000,5420,92,0,6.7,32.0,120,34074895,9000000
The Big Tease,13-05-1999,Color,Comedy,English,UK,Over 18,Craig Ferguson,Kevin Allen,759,2805,8,182,6.3,33.0,86,185577,4000000
The Blair Witch Project,28-07-1999,Black and White,Horror,English,USA,Over 18,Heather Donahue,Daniel Myrick,170,399,19,0,6.4,360.0,81,140530114,60000
The Bone Collector,05-12-1999,Color,Crime,English,USA,Over 18,Denzel Washington,Phillip Noyce,18000,29748,176,0,6.7,75.0,118,66488090,48000000
The Corruptor,25-11-1999,Color,Action,English,USA,Over 18,Byron Mann,James Foley,258,571,164,328,6.0,91.0,110,15156200,30000000
The Deep End of the Ocean,08-10-1999,Color,Drama,English,USA,Teens,Alexa PenaVega,Ulu Grosbard,2000,4327,22,579,6.3,54.0,106,13376506,40000000
The End of the Affair,18-08-1999,Color,Drama,English,UK,Over 18,Stephen Rea,Neil Jordan,327,672,277,0,7.2,90.0,102,10660147,23000000
The General's Daughter,30-08-1999,Color,Drama,English,USA,Over 18,Daniel von Bargen,Simon West,577,2321,165,885,6.3,113.0,116,102678089,95000000
The Green Mile,04-08-1999,Color,Crime,English,USA,Over 18,Tom Hanks,Frank Darabont,15000,17716,0,30000,8.5,186.0,189,136801374,60000000
The Haunting,13-07-1999,Color,Fantasy,English,USA,Teens,Liam Neeson,Jan de Bont,14000,17786,101,0,4.9,167.0,113,91188905,80000000
The Hurricane,26-07-1999,Black and White,Biography,English,USA,Over 18,Denzel Washington,Norman Jewison,18000,20516,278,0,7.6,65.0,146,50668906,38000000
The Insider,26-08-1999,Color,Biography,English,USA,Over 18,Al Pacino,Michael Mann,14000,18216,0,0,7.9,209.0,157,28965197,68000000
The Iron Giant,30-08-1999,Color,Action,English,USA,Parental Guidance,Vin Diesel,Brad Bird,14000,16358,663,0,8.0,162.0,90,23159305,70000000
The Limey,04-09-1999,Color,Crime,English,USA,Over 18,Peter Fonda,Steven Soderbergh,402,1335,0,944,7.1,111.0,89,3193102,9000000
The Loss of Sexual Innocence,01-03-1999,Color,Drama,English,USA,Over 18,Kelly Macdonald,Mike Figgis,2000,4343,81,111,5.4,31.0,106,399793,4000000
The Matrix,27-12-1999,Color,Action,English,USA,Over 18,Keanu Reeves,Lana Wachowski,18000,18563,0,25000,8.7,313.0,136,171383253,63000000
The Messenger: The Story of Joan of Arc,07-04-1999,Color,Adventure,English,France,Over 18,Paul Brooke,Luc Besson,51,144,0,0,6.4,111.0,158,14131298,390000000
The Muse,28-11-1999,Color,Comedy,English,USA,Teens,Jeff Bridges,Albert Brooks,12000,15209,745,251,5.6,97.0,97,11614236,15000000
The Ninth Gate,15-07-1999,Color,Mystery,English,Spain,Over 18,Johnny Depp,Roman Polanski,40000,42344,2000,0,6.7,172.0,133,18653746,38000000
The Omega Code,20-10-1999,Color,Action,English,USA,Teens,George Coe,Robert Marcarelli,488,2428,0,129,3.5,39.0,100,12610552,7500000
The Out-of-Towners,15-02-1999,Color,Comedy,English,USA,Teens,Oliver Hudson,Sam Weisman,607,1335,39,279,5.3,62.0,90,28535768,40000000
The Rage: Carrie 2,14-06-1999,Black and White,Horror,English,USA,Over 18,Jason London,Katt Shea,711,3162,52,897,4.6,85.0,104,17757087,21000000
The Sixth Sense,15-10-1999,Color,Drama,English,USA,Teens,Bruce Willis,M. Night Shyamalan,13000,17540,0,14000,8.1,234.0,107,293501675,40000000
